latitude,longitude
41.45035120,31.76340100
41.45035560,31.76339670
41.45035970,31.76339410
41.45036390,31.76339180
41.45037050,31.76339050
41.45037710,31.76339060
41.45038160,31.76339240
41.45038810,31.76339420
41.45039490,31.76339500
41.45040090,31.76339340
41.45040580,31.76339550
41.45041240,31.76339370
41.45041710,31.76339190
41.45042370,31.76338880
41.45042800,31.76338370
41.45043150,31.76337980
41.45043560,31.76337690
41.45043860,31.76337190
41.45044240,31.76336700
41.45044620,31.76336370
41.45044900,31.76335890
41.45045410,31.76335360
41.45045820,31.76334780
41.45046130,31.76334230
41.45046500,31.76333790
41.45046970,31.76333110
41.45047300,31.76332660
41.45047840,31.76332170
41.45048340,31.76331620
41.45048670,31.76331130
41.45049080,31.76330780
41.45049510,31.76330140
41.45049840,31.76329630
41.45050290,31.76328600
41.45050540,31.76328060
41.45050750,31.76327520
41.45050900,31.76326740
41.45051090,31.76326030
41.45051310,31.76325020
41.45051460,31.76324210
41.45051490,31.76323480
41.45051640,31.76322890
41.45051670,31.76322260
41.45051730,31.76321630
41.45051630,31.76320740
41.45051580,31.76320090
41.45051340,31.76319520
41.45051170,31.76318870
41.45050930,31.76318310
41.45050590,31.76317530
41.45050310,31.76317020
41.45049940,31.76316430
41.45049630,31.76315980
41.45049180,31.76315430
41.45048700,31.76315010
41.45048230,31.76314660
41.45047750,31.76314330
41.45047240,31.76313840
41.45046770,31.76313670
41.45046270,31.76313530
41.45045760,31.76313340
41.45045310,31.76313230
41.45044820,31.76313170
41.45044360,31.76313230
41.45043700,31.76313340
41.45043280,31.76313560
41.45042830,31.76313810
41.45042400,31.76314030
41.45041810,31.76314800
41.45041450,31.76315160
41.45040950,31.76315710
41.45040580,31.76316380
41.45040280,31.76317140
41.45039970,31.76317850
41.45039840,31.76318620
41.45039780,31.76319270
41.45039610,31.76320010
41.45039550,31.76320670
41.45039380,31.76321490
41.45039150,31.76322340
41.45039050,31.76322940
41.45038890,31.76323560
41.45038500,31.76324270
41.45038140,31.76324730
41.45037790,31.76325180
41.45037440,31.76325560
41.45036940,31.76326190
41.45036470,31.76326460
41.45035970,31.76326630
41.45035380,31.76326710
41.45034830,31.76326400
41.45034120,31.76326330
41.45033480,31.76326260
41.45032910,31.76326130
41.45032310,31.76325980
41.45031810,31.76325870
41.45031340,31.76325750
41.45030610,31.76325550
41.45030070,31.76325450
41.45029680,31.76325780
41.45029200,31.76325910
41.45028550,31.76326050
41.45027970,31.76326410
41.45027400,31.76326790
41.45026870,31.76327300
41.45026390,31.76327840
41.45026030,31.76328420
41.45025790,31.76328930
41.45025550,31.76329630
41.45025380,31.76330190
41.45025220,31.76330950
41.45025040,31.76331780
41.45024950,31.76332490
